常見問答範例,回覆訊息
你好 / hi / hello / 哈囉 / 請問 / 有人在嗎 / 想請問 / 我想買 eSIM / 第一次使用 / 剛加入 / 剛加好友,"旅伴您好～歡迎來到 Jeko eSIM 🌏
這裡可以協助您查詢海外上網方案、eSIM 安裝、流量查詢與常見問題。

您可以直接輸入：
「日本 eSIM」
「手機可以用嗎」
「如何安裝」
「eSIM 連不上」
「沒收到 QR Code」
「我要找客服」"
謝謝 / 感謝 / thanks / thank you / 收到了 / ok / OK / 好的 / 了解,"不客氣 😊 若還有其他 eSIM 問題，隨時傳訊息給我們。

常見問題也可以直接輸入：
「如何安裝」
「查流量」
「我要找客服」"
日本 eSIM / 我要去日本 / 日本上網 / 東京 eSIM / 大阪 eSIM / 沖繩 eSIM / 日本旅遊 / 去日本 / 日本 esim / 日本esim / 日本 SIM / 日本sim / 日本上網卡 / 日本網卡 / 日本漫遊 / 日本流量 / 我想問日本 / 我想請問日本 / 我想請日本 / 請問日本 / 請日本 / 想問日本 / 日本上網方案 / 日本 esim 方案,"旅伴您好～如果您要前往日本，我可以幫您挑適合的 Jeko eSIM 方案 🇯🇵

請回覆這 3 個資訊：
1. 出國天數
2. 使用需求：LINE、地圖、IG、影片、熱點
3. 手機型號

也可以直接回覆：「日本 7 天」，我會幫您快速建議。"
日本 3 天 / 日本三天 / 日本3天 / 去日本3天 / 日本旅遊3天 / 日本三日,"旅伴您好～日本 3 天 eSIM 方案 🇯🇵

請再告訴我：
1. 使用習慣：一般（LINE、地圖）/ 中度（IG、短影片）/ 重度（YouTube、熱點）
2. 手機型號

我會依您的需求推薦最適方案。

若需立即協助，請回覆「我要找客服」。"
日本 5 天 / 日本五天 / 日本5天 / 去日本5天 / 日本旅遊5天 / 日本五日,"旅伴您好～日本 5 天 eSIM 方案 🇯🇵

請再告訴我：
1. 使用習慣：一般 / 中度 / 重度
2. 是否需要開熱點
3. 手機型號

我會依您的需求推薦最適方案。

若需立即協助，請回覆「我要找客服」。"
日本 7 天 / 日本七天 / 日本7天 / 去日本7天 / 日本旅遊7天 / 日本七日,"旅伴您好～日本 7 天 eSIM 方案 🇯🇵

請再告訴我：
1. 使用習慣：一般 / 中度 / 重度
2. 是否需要開熱點
3. 手機型號

我會依您的需求推薦最適方案。

若需立即協助，請回覆「我要找客服」。"
日本 10 天 / 日本十天 / 日本10天 / 去日本10天,"旅伴您好～日本 10 天 eSIM 方案 🇯🇵

請再告訴我使用習慣、是否需要熱點，以及手機型號，我會幫您建議。

若需立即協助，請回覆「我要找客服」。"
日本 14 天 / 日本十四天 / 日本14天 / 日本兩週,"旅伴您好～日本 14 天 eSIM 方案 🇯🇵

請再告訴我使用習慣、是否需要熱點，以及手機型號，我會幫您建議。

若需立即協助，請回覆「我要找客服」。"
韓國 eSIM / 我要去韓國 / 首爾 eSIM / 釜山 eSIM / 韓國上網 / 去韓國 / 韓國 esim / 韓國esim / 韓國 SIM / 韓國sim / 韓國上網卡 / 韓國網卡 / 我想問韓國 / 我想請問韓國 / 我想請韓國 / 請問韓國 / 想問韓國 / 韓國上網方案,"旅伴您好～韓國旅遊可以使用 Jeko eSIM 上網 🇰🇷

請問您預計去幾天？平常主要是 LINE、Google Map、IG，還是會看影片或開熱點呢？

您也可以直接回覆：「韓國 5 天」，我幫您快速推薦。"
韓國 3 天 / 韓國三天 / 韓國3天 / 韓國 5 天 / 韓國五天 / 韓國5天 / 韓國 7 天 / 韓國七天 / 韓國7天,"旅伴您好～韓國 eSIM 方案 🇰🇷

請再告訴我使用習慣、是否需要熱點，以及手機型號，我會依天數幫您建議。

若需立即協助，請回覆「我要找客服」。"
